"UYT","Metropolitan Statistical Area","2001","2002","2003","2004","2005","2006","2007"
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)",43414,47645,51821,54187,55601,57583,58845
"21300","Elmira, NY (Metropolitan Statistical Area)",29954,29821,30340,31183,32753,32581,32652
"21340","El Paso, TX (Metropolitan Statistical Area)",33345,33005,29121,31277,30983,29747,29622
"21420","Enid, OK (Metropolitan Statistical Area)",33152,34007,35357,35156,36080,38047,37664
"21500","Erie, PA (Metropolitan Statistical Area)",35031,34313,34199,36930,37513,36484,36092
"21660","Eugene, OR (Metropolitan Statistical Area)",32247,33056,33389,35049,34840,36184,37051
"21780","Evansville, IN-KY (Metropolitan Statistical Area)",49708,51326,52400,52375,51061,51174,50742
"21820","Fairbanks, AK (Metropolitan Statistical Area)",55388,51846,54643,55195,55301,58719,57683
"22020","Fargo, ND-MN (Metropolitan Statistical Area)",44057,45484,46966,48180,48865,49535,50310
"22140","Farmington, NM (Metropolitan Statistical Area)",54093,51959,49619,50426,48850,50154,49953
"22180","Fayetteville, NC (Metropolitan Statistical Area)",35875,37225,38293,38532,40763,41092,41570
"22220","Fayetteville-Springdale-Rogers, AR-MO (Metropolitan Statistical Area)",37629,43333,44295,45603,46334,45314,42009
"22380","Flagstaff, AZ (Metropolitan Statistical Area)",33871,33727,33853,33612,33885,35893,38969
"22420","Flint, MI (Metropolitan Statistical Area)",30245,31367,31805,31255,31133,31153,30210
"22500","Florence, SC (Metropolitan Statistical Area)",35576,35797,36824,36356,36334,36595,37094
"22520","Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",25318,25595,26158,27646,28608,28381,27794
"22540","Fond du Lac, WI (Metropolitan Statistical Area)",35499,35479,36336,37085,37290,37391,37977
"22660","Fort Collins, CO (Metropolitan Statistical Area)",37378,39084,39110,39169,39038,39074,39997
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)",31400,31363,32900,34468,36108,37229,34931
"23060","Fort Wayne, IN (Metropolitan Statistical Area)",40777,41802,42149,42639,43734,44013,44397
"23420","Fresno, CA (Metropolitan Statistical Area)",30388,32670,33751,34746,35558,37024,35296
"23460","Gadsden, AL (Metropolitan Statistical Area)",24482,25180,25082,26227,26048,25762,25264
"23540","Gainesville, FL (Metropolitan Statistical Area)",35954,36278,36049,39195,39117,39573,41256
"23580","Gainesville, GA (Metropolitan Statistical Area)",40666,39527,40895,41267,42571,40866,39935
"23900","Gettysburg, PA (Metropolitan Statistical Area)",26124,26217,27515,27924,28370,28284,28347
"24020","Glens Falls, NY (Metropolitan Statistical Area)",28916,30518,31016,32447,32959,32704,31544
"24140","Goldsboro, NC (Metropolitan Statistical Area)",33098,32763,32354,33564,33568,34536,33527
"24220","Grand Forks, ND-MN (Metropolitan Statistical Area)",34479,35902,38010,36288,36917,38940,38895
"24260","Grand Island, NE (Metropolitan Statistical Area)",33884,34133,36815,36046,37948,39409,40520
"24300","Grand Junction, CO (Metropolitan Statistical Area)",33189,34337,34186,33193,35079,36174,38413
"24340","Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)",44814,46239,46583,46517,47322,46984,45543
"24420","Grants Pass, OR (Metropolitan Statistical Area)",20470,21176,22608,24543,24874,25089,24050
"24500","Great Falls, MT (Metropolitan Statistical Area)",31264,31937,33272,33779,33949,34916,35643
"24540","Greeley, CO (Metropolitan Statistical Area)",36129,32025,31216,30854,30963,30582,30792
"24580","Green Bay, WI (Metropolitan Statistical Area)",47979,48191,50386,51740,51801,51240,51135
"24660","Greensboro-High Point, NC (Metropolitan Statistical Area)",48244,48786,49076,48752,48749,49265,48760
"24780","Greenville, NC (Metropolitan Statistical Area)",38456,39689,39615,37937,37884,38277,38459
"24860","Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)",39744,40265,41012,39036,39233,38666,39730
"25060","Gulfport-Biloxi-Pascagoula, MS (Metropolitan Statistical Area)",35251,35315,37859,36146,37840,42732,42546
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",33047,33790,34201,34212,34394,34553,32673
"25220","Hammond, LA (Metropolitan Statistical Area)",21565,22435,23862,25780,28605,31912,29933
"25260","Hanford-Corcoran, CA (Metropolitan Statistical Area)",26042,27124,29180,30084,30606,29730,31281
"25420","Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",51662,52180,53174,54469,54756,55545,54603
"25500","Harrisonburg, VA (Metropolitan Statistical Area)",52871,48200,49124,48624,49702,50151,50498
"25540","Hartford-West Hartford-East Hartford, CT (Metropolitan Statistical Area)",62589,60187,60474,66072,66147,68762,70676
"25620","Hattiesburg, MS (Metropolitan Statistical Area)",30737,31170,31361,32004,32957,35560,35749
"25860","Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",35653,35332,34152,35670,34993,35821,33372
"25940","Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)",55705,47406,47768,48303,48324,49127,46883
"25980","Hinesville, GA (Metropolitan Statistical Area)",31669,31071,34395,34073,35845,36312,36092
"26140","Homosassa Springs, FL (Metropolitan Statistical Area)",22531,23112,23752,23861,24703,24716,24560
"26300","Hot Springs, AR (Metropolitan Statistical Area)",27160,26946,27558,27943,28985,29223,29351
"26380","Houma-Thibodaux, LA (Metropolitan Statistical Area)",34896,33230,33406,33263,35196,42369,46568
"26420","Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",59798,58233,58354,62423,60996,62952,66824
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",29041,30113,30429,30903,31212,31546,32171
"26620","Huntsville, AL (Metropolitan Statistical Area)",43044,44792,46410,48625,49492,50017,50424
"26820","Idaho Falls, ID (Metropolitan Statistical Area)",37636,40160,39975,40755,41907,42555,41483
"26900","Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",56047,54797,55999,58352,58145,59211,59555
"26980","Iowa City, IA (Metropolitan Statistical Area)",47025,46862,47575,48315,47868,48539,48854
"27060","Ithaca, NY (Metropolitan Statistical Area)",38194,39173,40486,40789,40985,40948,40928
"27100","Jackson, MI (Metropolitan Statistical Area)",32565,33034,32249,33307,33419,32665,32479
"27140","Jackson, MS (Metropolitan Statistical Area)",39351,39608,40650,41549,41473,42055,42920
"27180","Jackson, TN (Metropolitan Statistical Area)",36625,37268,38877,39110,40048,40468,38661
"27260","Jacksonville, FL (Metropolitan Statistical Area)",43070,44073,45440,45740,47481,48863,47735
"27340","Jacksonville, NC (Metropolitan Statistical Area)",33401,31689,33409,34680,36340,35659,36763
"27500","Janesville-Beloit, WI (Metropolitan Statistical Area)",32039,34889,36041,35707,34794,36913,35310
"27620","Jefferson City, MO (Metropolitan Statistical Area)",38807,37649,39398,41318,41088,41602,41034
"27740","Johnson City, TN (Metropolitan Statistical Area)",28000,28433,29920,31205,30878,30698,30467
"27780","Johnstown, PA (Metropolitan Statistical Area)",27532,26875,27357,26990,27583,27856,27733
"27860","Jonesboro, AR (Metropolitan Statistical Area)",30763,30291,32522,33371,33830,34238,33216
"27900","Joplin, MO (Metropolitan Statistical Area)",33536,33371,34756,35122,34767,35206,34380
"27980","Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)",42796,43825,45095,46112,48017,48071,49600
"28020","Kalamazoo-Portage, MI (Metropolitan Statistical Area)",39259,42213,42741,41966,40615,41309,41618
"28100","Kankakee, IL (Metropolitan Statistical Area)",29159,30424,29853,30568,30132,30050,29163
"28140","Kansas City, MO-KS (Metropolitan Statistical Area)",50234,50682,51209,49399,51372,52259,53222
"28420","Kennewick-Richland, WA (Metropolitan Statistical Area)",39236,40220,40679,40259,40624,39491,40451
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)",32143,32768,34107,34892,36166,37604,37541
"28700","Kingsport-Bristol-Bristol, TN-VA (Metropolitan Statistical Area)",33760,32913,32508,34188,32672,34445,34482
"28740","Kingston, NY (Metropolitan Statistical Area)",25289,26068,27148,27681,28119,29012,28490
"28940","Knoxville, TN (Metropolitan Statistical Area)",36239,38093,39292,40466,40651,40280,39549
"29020","Kokomo, IN (Metropolitan Statistical Area)",39649,44304,49662,47830,47163,50673,53364
"29100","La Crosse-Onalaska, WI-MN (Metropolitan Statistical Area)",39216,39061,40628,41265,42026,42053,42080
"29180","Lafayette, LA (Metropolitan Statistical Area)",42279,39808,39507,39947,41449,46176,48297
"29200","Lafayette-West Lafayette, IN (Metropolitan Statistical Area)",39259,40226,40483,41778,41562,41239,41898
"29340","Lake Charles, LA (Metropolitan Statistical Area)",53135,57105,67651,72815,90879,78455,65148
"29420","Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)",20610,21107,21476,22825,23992,23966,20769
"29460","Lakeland-Winter Haven, FL (Metropolitan Statistical Area)",30065,30416,30697,30888,31518,31238,30385
"29540","Lancaster, PA (Metropolitan Statistical Area)",42640,43330,42775,42954,43635,43125,41793
"29620","Lansing-East Lansing, MI (Metropolitan Statistical Area)",42181,43621,43591,42004,42214,42687,42622
"29700","Laredo, TX (Metropolitan Statistical Area)",29300,30386,28305,26432,27257,27448,26921
"29740","Las Cruces, NM (Metropolitan Statistical Area)",25723,26673,28087,29856,30307,29875,29674
"29820","Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)",47164,47227,47826,51515,54548,53878,52739
"29940","Lawrence, KS (Metropolitan Statistical Area)",34977,34194,34171,36007,34193,32223,32984
"30020","Lawton, OK (Metropolitan Statistical Area)",30624,31304,33470,32846,32748,34036,33149
"30140","Lebanon, PA (Metropolitan Statistical Area)",29584,30024,32084,32127,31499,31104,30677
"30300","Lewiston, ID-WA (Metropolitan Statistical Area)",32155,32838,33078,32985,32881,32964,33160
"30340","Lewiston-Auburn, ME (Metropolitan Statistical Area)",31840,33459,33827,34359,34192,35179,35567
"30460","Lexington-Fayette, KY (Metropolitan Statistical Area)",48695,50472,49329,50028,50905,51648,51786
"30620","Lima, OH (Metropolitan Statistical Area)",39783,41296,42145,43489,44718,45266,44287
"30700","Lincoln, NE (Metropolitan Statistical Area)",46223,46665,48864,47627,47912,48019,48712
"30780","Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)",42956,42581,43800,44567,45584,46737,49636
"30860","Logan, UT-ID (Metropolitan Statistical Area)",24582,24918,26840,27492,27329,28127,28925
"30980","Longview, TX (Metropolitan Statistical Area)",36231,36243,36437,37910,41097,45380,48040
"31020","Longview, WA (Metropolitan Statistical Area)",30884,29478,31374,31651,32947,32324,32985
"31080","Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",50631,51857,53855,55937,57613,60238,61233
"31140","Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)",45381,45068,45520,46385,46882,47527,47451
"31180","Lubbock, TX (Metropolitan Statistical Area)",31553,32562,32982,34234,35512,35947,35374
"31340","Lynchburg, VA (Metropolitan Statistical Area)",32788,31867,32869,33102,33695,34270,33892
"31420","Macon-Bibb County, GA (Metropolitan Statistical Area)",38363,37548,37243,37996,37696,36324,34915
"31460","Madera, CA (Metropolitan Statistical Area)",21907,23742,24356,26305,27915,27522,26897
"31540","Madison, WI (Metropolitan Statistical Area)",54801,56109,56896,58649,60026,60160,60840
"31700","Manchester-Nashua, NH (Metropolitan Statistical Area)",43700,46091,49697,50173,53070,53561,53780
"31740","Manhattan, KS (Metropolitan Statistical Area)",28928,29456,30470,33077,31977,30218,31402
"31860","Mankato-North Mankato, MN (Metropolitan Statistical Area)",38535,40206,40644,40904,42509,45330,41531
"31900","Mansfield, OH (Metropolitan Statistical Area)",31584,32824,33674,35292,35536,35827,33970
"32580","McAllen-Edinburg-Mission, TX (Metropolitan Statistical Area)",17777,18035,18720,19624,19824,19996,19441
"32780","Medford, OR (Metropolitan Statistical Area)",32197,32672,33147,34397,33983,32985,32094
"32820","Memphis, TN-MS-AR (Metropolitan Statistical Area)",49135,50243,50586,51321,50893,50319,50024
"32900","Merced, CA (Metropolitan Statistical Area)",22054,24388,25750,26881,27224,26719,27325
"33100","Miami-Fort Lauderdale-West Palm Beach, FL (Metropolitan Statistical Area)",44450,45051,45726,47309,50612,51890,51737
"33140","Michigan City-La Porte, IN (Metropolitan Statistical Area)",32010,33122,32887,33902,33467,33426,33624
"33220","Midland, MI (Metropolitan Statistical Area)",45571,48271,46481,50042,45809,45711,46980
"33260","Midland, TX (Metropolitan Statistical Area)",135554,144769,120419,101676,94307,90491,94765
"33340","Milwaukee-Waukesha-West Allis, WI (Metropolitan Statistical Area)",51652,51665,53145,54124,56025,57855,57710
"33460","Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",57273,57504,59436,61066,62419,61196,61268
"33540","Missoula, MT (Metropolitan Statistical Area)",37005,37793,39055,38707,38991,38938,39639
"33660","Mobile, AL (Metropolitan Statistical Area)",36324,36539,36957,38143,39736,42040,41180
"33700","Modesto, CA (Metropolitan Statistical Area)",30236,31037,31796,33389,33584,33039,31721
"33740","Monroe, LA (Metropolitan Statistical Area)",32555,34236,33998,35101,35325,35953,35635
"33780","Monroe, MI (Metropolitan Statistical Area)",28054,31444,31283,31062,29478,29642,28206
"33860","Montgomery, AL (Metropolitan Statistical Area)",39354,40157,40554,43138,42420,42002,40857
"34060","Morgantown, WV (Metropolitan Statistical Area)",39024,37268,37645,39786,41307,41728,40912
"34100","Morristown, TN (Metropolitan Statistical Area)",31286,31412,32337,33849,32344,32848,31057
"34580","Mount Vernon-Anacortes, WA (Metropolitan Statistical Area)",40267,44240,42359,40702,52904,42697,41318
"34620","Muncie, IN (Metropolitan Statistical Area)",30752,31103,31607,31159,30470,31104,29759
"34740","Muskegon, MI (Metropolitan Statistical Area)",28632,28727,28633,28594,28618,28527,27571
"34820","Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metropolitan Statistical Area)",40776,41724,41442,42924,45525,43142,40821
"34900","Napa, CA (Metropolitan Statistical Area)",56987,56308,55924,56180,59022,60701,59671
"34940","Naples-Immokalee-Marco Island, FL (Metropolitan Statistical Area)",56072,54662,51135,49431,51714,52472,50091
"34980","Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)",48491,49398,50549,52270,52258,52987,51144
"35100","New Bern, NC (Metropolitan Statistical Area)",33644,33629,34818,36115,38015,37642,36610
"35300","New Haven-Milford, CT (Metropolitan Statistical Area)",45819,46775,47110,49682,49475,51524,50794
"35380","New Orleans-Metairie, LA (Metropolitan Statistical Area)",53612,53625,55048,55933,55347,68599,61770
"35620","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",61229,60917,61018,62720,65318,67249,68073
"35660","Niles-Benton Harbor, MI (Metropolitan Statistical Area)",35751,37577,37160,37206,37106,38216,39308
"35840","North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)",32567,34536,36528,38773,41571,41574,39471
"35980","Norwich-New London, CT (Metropolitan Statistical Area)",47964,51216,53904,61258,59413,60007,60390
"36100","Ocala, FL (Metropolitan Statistical Area)",22966,23459,24341,24709,25331,26468,25505
"36140","Ocean City, NJ (Metropolitan Statistical Area)",39375,42086,45851,52029,53892,49252,44372
"36220","Odessa, TX (Metropolitan Statistical Area)",36266,35641,33987,33788,35733,40374,46339
"36260","Ogden-Clearfield, UT (Metropolitan Statistical Area)",31688,32488,32878,33022,33162,34842,34604
"36420","Oklahoma City, OK (Metropolitan Statistical Area)",42259,42778,44617,43929,44197,44688,44531
"36500","Olympia-Tumwater, WA (Metropolitan Statistical Area)",36648,36969,37171,38239,38709,38148,38861
"36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)",50439,51003,51828,54488,55192,56295,55797
"36740","Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",47003,46755,48635,49594,50391,50738,51733
"36780","Oshkosh-Neenah, WI (Metropolitan Statistical Area)",45468,48401,48398,49658,49738,50246,50495
"36980","Owensboro, KY (Metropolitan Statistical Area)",35499,39223,39506,42497,37351,39919,39488
"37100","Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)",41804,42201,44979,47003,47739,49075,50191
"37340","Palm Bay-Melbourne-Titusville, FL (Metropolitan Statistical Area)",28711,29637,30883,33106,34681,34999,35974
"37460","Panama City, FL (Metropolitan Statistical Area)",32800,35157,36171,38376,39927,41763,40828
"37620","Parkersburg-Vienna, WV (Metropolitan Statistical Area)",35181,35560,35302,35391,34418,36999,35644
"37860","Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)",31296,30640,31070,32298,32647,34160,33628
"37900","Peoria, IL (Metropolitan Statistical Area)",39175,39009,40592,42992,44904,47958,49121
"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",52569,53137,54517,55924,56467,57403,58711
