NAME,LSAD,CENSUSPOP2000,CENSUSPOP2010,NPOPCHG_2010,PPOPCHG_2010
,,,,,
Metropolitan Statistical Areas,,,,,
"Abilene, TX",Metropolitan Statistical Area,160245,165252,5007,3.124590471
"Akron, OH",Metropolitan Statistical Area,694960,703200,8240,1.185679751
"Albany, GA",Metropolitan Statistical Area,157833,157308,-525,-0.332630058
"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,825875,870716,44841,5.429514152
"Albuquerque, NM",Metropolitan Statistical Area,729649,887077,157428,21.5758536
"Alexandria, LA",Metropolitan Statistical Area,145035,153922,8887,6.127486469
"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,740395,821173,80778,10.9101223
"Altoona, PA",Metropolitan Statistical Area,129144,127089,-2055,-1.59124698
"Amarillo, TX",Metropolitan Statistical Area,226522,249881,23359,10.31202267
"Ames, IA",Metropolitan Statistical Area,79981,89542,9561,11.9540891
"Anchorage, AK",Metropolitan Statistical Area,319605,380821,61216,19.15364278
"Anderson, IN",Metropolitan Statistical Area,133358,131636,-1722,-1.291261117
"Anderson, SC",Metropolitan Statistical Area,165740,187126,21386,12.90334258
"Ann Arbor, MI",Metropolitan Statistical Area,322895,344791,21896,6.781151768
