,,MSA,County,
4040,,"Lansing/East Lansing, MI",Clinton County,
,,,Eaton County,
,,,Ingham County,
4080,,"Laredo, TX",Webb County,
4100,,"Las Cruces, NM",Dona Ana County,
4120,,"Las Vegas, NV/AZ","Mohave County, AZ",
,,,"Clark County, NV",
,,,"Nye County, NV",
4150,,"Lawrence, KS",Douglas County,
4160,1122,"Lawrence, MA/NH","Essex County, MA",
,,,"Rockingham County, NH",
4200,,"Lawton, OK",Comanche County,
4240,,"Lewiston/Auburn, ME",Androscoggin County,
4280,,"Lexington, KY",Bourbon County,Madison County
,,,Clark County,Scott County
,,,Fayette County,Woodford County
,,,Jessamine County,
4320,,"Lima, OH",Allen County,
,,,Auglaize County,
4360,,"Lincoln, NE",Lancaster County,
4400,,"Little Rock/North Little Rock, AR",Faulkner County,Pulaski County
,,,Lonoke County,Saline County
4420,,"Longview/Marshall, TX",Gregg County,
,,,Harrison County,
,,,Upshur County,
4480,4472,"Los Angeles/Long Beach, CA",Los Angeles County,
4520,,"Louisville, KY/IN",IN:,KY:
,,,Clark County,Bullitt County
,,,Floyd County,Jefferson County
,,,Harrison County,Oldham County
,,,Scott County,
4560,1122,"Lowell, MA/NH","Middlesex County, MA",
,,,"Hillsborough County, NH",
4600,,"Lubbock, TX",Lubbock County,
4640,,"Lynchburg, VA",Amherst County,Bedford city
,,,Bedford County,Lynchburg city
,,,Campbell County,
4680,,"Macon, GA",Bibb County,Peach County
,,,Houston County,Twiggs County
,,,Jones County,
4720,,"Madison, WI",Dane County,
4760,1122,"Manchester, NH",Hillsborough County,
,,,Merrimack County,
,,,Rockingham County,
4800,,"Mansfield, OH",Crawford County,
,,,Richland County,
4880,,"McAllen/Edinburg/Mission, TX",Hidalgo County,
4890,,"Medford/Ashland, OR",Jackson County,
4900,,"Melbourne/Titusville/Palm Bay, FL",Brevard County,
4920,,"Memphis, TN/AR/MS","Crittenden County, AR","Fayette County, TN"
,,,"DeSoto County, MS","Shelby County, TN"
,,,,"Tipton County, TN"
4940,,"Merced, CA",Merced County,
5000,4992,"Miami, FL",Dade County,
5015,5602,"Middlesex/Somerset/Hunterdon, NJ",Hunterdon County,
,,,Middlesex County,
,,,Somerset County,
5080,5082,"Milwaukee/Waukesha, WI",Milwaukee County,Washington County
,,,Ozaukee County,Waukesha County
5120,,"Minneapolis/St. Paul, MN/WI",MN:,MN:
,,,Anoka County,Scott County
,,,Carver County,Sherburne County
,,,Chisago County,Washington County
,,,Dakota County,Wright County
,,,Hennepin County,WI:
,,,Isanti County,"Pierce County, WI"
,,,Ramsey County,"St. Croix County, WI"
5140,,"Missoula, MT",Missoula County,
5160,,"Mobile, AL",Baldwin County,
,,,Mobile County,
5170,,"Modesto, CA",Stanislaus County,
5190,5602,"Monmouth/Ocean, NJ",Monmouth County,
,,,Ocean County,
5200,,"Monroe, LA",Ouachita Parish,
5240,,"Montgomery, AL",Autauga County,
,,,Elmore County,
,,,Montgomery County,
5280,,"Muncie, IN",Delaware County,
5330,,"Myrtle Beach, SC",Horry County,
5345,,"Naples, FL",Collier County,
5350,1122,"Nashua, NH",Hillsborough County,
5360,,"Nashville, TN",Cheatham County,Rutherford County
,,,Davidson County,Sumner County
,,,Dickson County,Williamson County
,,,Robertson County,Wilson County
5380,5602,"Nassau/Suffolk, NY",Nassau County,
,,,Suffolk County,
5400,1122,"New Bedford, MA",Bristol County,
,,,Plymouth County,
5480,5602,"New Haven/Meriden, CT",Middlesex County,
,,,New Haven County,
5520,,"New London/Norwich, CT/RI","Middlesex County, CT",
,,,"New London County, CT",
,,,"Windham County, CT",
,,,"Washington County, RI",
5560,,"New Orleans, LA",Jefferson Parish,St. James Parish
,,,Orleans Parish,St. John the Baptist
,,,Plaquemines Parish,     Parish
,,,St. Bernard Parish,St. Tammany Parish
,,,St. Charles Parish,
5600,5602,"New York, NY",Bronx County,Queens County
,,,Kings County,Richmond County
,,,New York County,Rockland County
,,,Putnam County,Westchester County
5640,5602,"Newark, NJ",Essex County,Union County
,,,Morris County,Warren County
,,,Sussex County,
5660,5602,"Newburgh, NY/PA","Orange County, NY",
,,,"Pike County, PA",
5720,,"Norfolk/Virginia Beach/Newport News, VA/NC",NC:,VA:
,,,Currituck County,Hampton city
,,,VA:,Newport News city
,,,Gloucester County,Norfolk city
,,,Isle of Wight County,Poquoson city
,,,James City County,Portsmouth city
,,,Mathews County,Suffolk city
,,,York County,Virginia Beach city
,,,Chesapeake city,Williamsburg city
5775,7362,"Oakland, CA",Alameda County,
,,,Contra Costa County,
5790,,"Ocala, FL",Marion County,
5800,,"Odessa/Midland, TX",Ector County,
,,,Midland County,
5880,,"Oklahoma City, OK",Canadian County,McClain County
,,,Cleveland County,Oklahoma County
,,,Logan County,Pottawatomie County
5910,7602,"Olympia, WA",Thurston County,
5920,,"Omaha, NE/IA","Pottawattamie County, IA",
,,,"Cass County, NE",
,,,"Douglas County, NE",
,,,"Sarpy County, NE",
,,,"Washington County, NE",
5945,4472,"Orange County, CA",Orange County,
5960,,"Orlando, FL",Lake County,Osceola County
,,,Orange County,Seminole County
5990,,"Owensboro, KY",Daviess County,
6015,,"Panama City, FL",Bay County,
6020,,"Parkersburg/Marietta, WV/OH","Washington County, OH",
,,,"Wood County, WV",
6080,,"Pensacola, FL",Escambia County,
,,,Santa Rosa County,
6120,,"Peoria/Pekin, IL",Peoria County,
,,,Tazewell County,
,,,Woodford County,
6160,6162,"Philadelphia, PA/NJ",NJ:,PA:
,,,Burlington County,Bucks County
,,,Camden County,Chester County
,,,Gloucester County,Delaware County
,,,Salem County,Montgomery County
,,,,Philadelphia County
6200,,"Phoenix/Mesa, AZ",Maricopa County,
,,,Pinal County,
6240,,"Pine Bluff, AR",Jefferson County,
6280,,"Pittsburgh, PA",Allegheny County,Fayette County
,,,Beaver County,Washington County
,,,Butler County,Westmoreland County
6320,,"Pittsfield, MA",Berkshire County,
6340,,"Pocatello, ID",Bannock County,
6400,,"Portland, ME",Cumberland County,
,,,York County,
6440,6442,"Portland/Vancouver, OR/WA","Clackamas County, OR",
,,,"Columbia County, OR",
,,,"Multnomah County, OR",
,,,"Washington County, OR",
,,,"Yamhill County, OR",
,,,"Clark County, WA",
6450,1122,"Portsmouth/Rochester, NH/ME","York County, ME",
,,,"Rockingham County, NH",
,,,"Strafford County, NH",
6480,,"Providence/Fall River/Warwick, RI/MA","Bristol County, MA","Newport County, RI"
,,,"Bristol County, RI","Providence County, RI"
,,,"Kent County, RI","Washington County, RI"
6520,,"Provo/Orem, UT",Utah County,
6560,,"Pueblo, CO",Pueblo County,
6580,,"Punta Gorda, FL",Charlotte County,
6600,5082,"Racine, WI",Racine County,
6640,,"Raleigh/Durham/Chapel Hill, NC",Chatham County,Johnston County
,,,Durham County,Orange County
,,,Franklin County,Wake County
6660,,"Rapid City, SD",Pennington County,
6680,,"Reading, PA",Berks County,
6690,,"Redding, CA",Shasta County,
6720,,"Reno, NV",Washoe County,
6740,,"Richland/Kennewick/Pasco, WA",Benton County,
,,,Franklin County,
6760,,"Richmond/Petersburg, VA",Charles City County,Powhatan County
,,,Chesterfield County,Prince George County
,,,Dinwiddie County,Colonial Heights city
,,,Goochland County,Hopewell city
,,,Hanover County,Petersburg city
,,,Henrico County,Richmond city
,,,New Kent County,
6780,4472,"Riverside/San Bernardino, CA",Riverside County,
,,,San Bernardino County,
6800,,"Roanoke, VA",Botetourt County,Roanoke city
,,,Roanoke County,Salem city
6820,,"Rochester, MN",Olmsted County,
6840,,"Rochester, NY",Genesee County,Ontario County
,,,Livingston County,Orleans County
,,,Monroe County,Wayne County
6880,,"Rockford, IL",Boone County,
,,,Ogle County,
,,,Winnebago County,
6895,,"Rocky Mount, NC",Edgecombe County,
,,,Nash County,
6920,6922,"Sacramento, CA",El Dorado County,
,,,Placer County,
,,,Sacramento County,
6960,,"Saginaw/Bay City/Midland, MI",Bay County,
,,,Midland County,
,,,Saginaw County,
6980,,"St. Cloud, MN",Benton County,
,,,Stearns County,
7000,,"St. Joseph, MO",Andrew County,
,,,Buchanan County,
7040,,"St. Louis, MO/IL",IL:,MO:
,,,Clinton County,Crawford County
,,,Jersey County,Franklin County
,,,Madison County,Jefferson County
,,,Monroe County,Lincoln County
,,,St. Clair County,St. Charles County
,,,,St. Louis County
,,,,Warren County
,,,,St. Louis city
7080,6442,"Salem, OR",Marion County,
,,,Polk County,
7120,,"Salinas, CA",Monterey County,
7160,,"Salt Lake City/Ogden, UT",Davis County,
,,,Salt Lake County,
,,,Weber County,
7200,,"San Angelo, TX",Tom Green County,
7240,,"San Antonio, TX",Bexar County,Guadalupe County
,,,Comal County,Wilson County
7320,,"San Diego, CA",San Diego County,
7360,7362,"San Francisco, CA",Marin County,
,,,San Francisco County,
,,,San Mateo County,
7400,7362,"San Jose, CA",Santa Clara County,
7460,,"San Luis Obispo/Atascadero/Paso Robles, CA",San Luis Obispo County,
7480,,"Santa Barbara/Santa Maria/Lompoc, CA",Santa Barbara County,
7485,7362,"Santa Cruz/Watsonville, CA",Santa Cruz County,
7490,,"Santa Fe, NM",Los Alamos County,
,,,Santa Fe County,
7500,7362,"Santa Rosa, CA",Sonoma County,
7510,,"Sarasota/Bradenton, FL",Manatee County,
,,,Sarasota County,
7520,,"Savannah, GA",Bryan County,
,,,Chatham County,
,,,Effingham County,
7560,,"Scranton/Wilkes-Barre/Hazleton, PA",Columbia County,Luzerne County
,,,Lackawanna County,Wyoming County
